Inmueble,Precio,Municipio,Colonia
Departamento,6800.0,TLAQUEPAQUE,SAN SEBASTIANITO
Departamento,20000.0,ZAPOPAN,PUERTA DE HIERRO
Casa,25000.0,ZAPOPAN,CIUDAD BUGAMBILIAS
Casa,20000.0,TLAQUEPAQUE,LA ASUNCION
Casa,38000.0,GUADALAJARA,AMERICANA
Departamento,23000.0,GUADALAJARA,AMERICANA
Departamento,27000.0,ZAPOPAN,LOMAS DEL VALLE
Departamento,18500.0,ZAPOPAN,
Casa,55000.0,ZAPOPAN,CIUDAD DEL SOL
Departamento,30000.0,ZAPOPAN,PUERTA DEL VALLE
Departamento,12000.0,TLAJOMULCO,NUEVA GALICIA
Departamento,50000.0,ZAPOPAN,PUERTA DE HIERRO
Departamento,20000.0,GUADALAJARA,LADRON DE GUEVARA
Casa,80000.0,ZAPOPAN,VALLE REAL
Departamento,36000.0,ZAPOPAN,PUERTA DE HIERRO
Casa,57000.0,ZAPOPAN,PUERTA DE HIERRO
Departamento,20500.0,GUADALAJARA,
Casa,25000.0,ZAPOPAN,
Casa,12500.0,ZAPOPAN,
Casa,11900.0,ZAPOPAN,FRANCISCO SARABIA
Departamento,9800.0,GUADALAJARA,JARDINES ALCALDE
Casa,25000.0,ZAPOPAN,VALLE IMPERIAL
Departamento,25000.0,GUADALAJARA,
Casa,17000.0,TLAJOMULCO,
Departamento,14000.0,TLAJOMULCO,
Casa,6500.0,TLAJOMULCO,REAL DEL SOL
Departamento,18000.0,ZAPOPAN,
Departamento,24380.0,GUADALAJARA,COUNTRY CLUB
Departamento,33500.0,GUADALAJARA,VALLARTA SAN JORGE
Casa,8000.0,ZAPOPAN,JARDINES DEL VERGEL
Departamento,30000.0,ZAPOPAN,
Casa,7800.0,TLAJOMULCO,ALTA CALIFORNIA
Casa,55000.0,ZAPOPAN,VALLE REAL
Casa,45000.0,ZAPOPAN,
Casa,22500.0,ZAPOPAN,
Casa,27900.0,ZAPOPAN,SOLARES AVEIRA
Casa,29980.0,ZAPOPAN,
Casa,100000.0,ZAPOPAN,VALLE REAL
Departamento,28500.0,GUADALAJARA,PRADOS PROVIDENCIA
Casa,32000.0,TLAJOMULCO,
Departamento,55000.0,GUADALAJARA,
Departamento,25000.0,GUADALAJARA,LADRON DE GUEVARA
Departamento,13000.0,ZAPOPAN,
Casa,20000.0,ZAPOPAN,VALLE IMPERIAL
Casa,22200.0,ZAPOPAN,VALLE ESMERALDA
Departamento,34000.0,ZAPOPAN,
Departamento,40000.0,ZAPOPAN,PUERTA DE HIERRO
Casa,18000.0,ZAPOPAN,
Departamento,19000.0,ZAPOPAN,
Departamento,18000.0,TLAQUEPAQUE,PARQUES COLON
Departamento,14500.0,ZAPOPAN,EL CAMPANARIO
Casa,16000.0,GUADALAJARA,AYUNTAMIENTO
Departamento,2500.0,TONALA,
Departamento,55000.0,GUADALAJARA,VALLARTA SAN JORGE
Departamento,25000.0,ZAPOPAN,PONIENTE
Departamento,24000.0,GUADALAJARA,
Departamento,35000.0,ZAPOPAN,
Departamento,23000.0,GUADALAJARA,PROVIDENCIA
Departamento,39900.0,GUADALAJARA,
Departamento,16500.0,ZAPOPAN,
Departamento,9000.0,GUADALAJARA,ARCOS VALLARTA
Departamento,35000.0,GUADALAJARA,COLINAS DE SAN JAVIER
Casa,28500.0,ZAPOPAN,
Casa,39700.0,ZAPOPAN,VILLA UNIVERSITARIA
Casa,28000.0,ZAPOPAN,
Casa,40000.0,ZAPOPAN,
Casa,14000.0,TLAJOMULCO,
